backend,multiplier,ped_rate,veh_rate,controller,seed,ped_service_ratio,veh_service_ratio,max_norm_wait,ped_p95_wait_s,veh_p95_wait_s,veh_throughput_h,starvation_violations
surrogate,3.0,0.44999999999999996,1.32,efficiency,304,0.9460154241645244,0.4875962360992301,8.99,56.0,804.0,2480.0,498
surrogate,3.0,0.44999999999999996,1.32,efficiency,305,0.9548872180451128,0.4598842018196857,9.0,59.0,809.0,2472.0,539
surrogate,3.0,0.44999999999999996,1.32,equal_bargaining,301,0.0,0.9511373209772536,8.99,848.0,74.0,4644.0,358
surrogate,3.0,0.44999999999999996,1.32,equal_bargaining,302,0.0,0.9500831946755408,8.96,860.0,67.0,4724.0,359
surrogate,3.0,0.44999999999999996,1.32,equal_bargaining,303,0.0,0.9547738693467337,8.96,846.0,88.0,4692.0,360
surrogate,3.0,0.44999999999999996,1.32,equal_bargaining,304,0.0,0.9478186484174508,8.98,837.0,84.0,4592.0,347
surrogate,3.0,0.44999999999999996,1.32,equal_bargaining,305,0.0,0.946236559139785,9.0,858.0,77.0,4720.0,357
surrogate,3.0,0.44999999999999996,1.32,efpb,301,0.9462102689486552,0.4692502106149958,8.99,52.0,813.0,2364.0,530
surrogate,3.0,0.44999999999999996,1.32,efpb,302,0.9506172839506173,0.4633943427620632,9.0,52.0,808.0,2428.0,547
surrogate,3.0,0.44999999999999996,1.32,efpb,303,0.41605839416058393,0.7236180904522613,5.27,493.0,426.0,3676.0,793
surrogate,3.0,0.44999999999999996,1.32,efpb,304,0.44473007712082263,0.7125748502994012,5.31,504.0,443.0,3596.0,842
surrogate,3.0,0.44999999999999996,1.32,efpb,305,0.9598997493734336,0.4557485525227461,9.0,53.0,808.0,2440.0,546
surrogate,3.5,0.525,1.54,fixed_time,301,0.46153846153846156,0.49891540130151846,5.18,474.0,448.0,3120.0,1606
surrogate,3.5,0.525,1.54,fixed_time,302,0.44742268041237115,0.48783977110157367,5.21,476.0,455.0,3120.0,1631
surrogate,3.5,0.525,1.54,fixed_time,303,0.4696969696969697,0.5010768126346016,4.86,465.0,439.0,3120.0,1597
surrogate,3.5,0.525,1.54,fixed_time,304,0.45336225596529284,0.5080527086383602,5.09,492.0,426.0,3120.0,1610
surrogate,3.5,0.525,1.54,fixed_time,305,0.4610526315789474,0.4931997136721546,5.08,459.0,440.0,3120.0,1626
surrogate,3.5,0.525,1.54,efficiency,301,0.9501039501039501,0.3571945046999277,8.99,51.0,813.0,2088.0,1108
surrogate,3.5,0.525,1.54,efficiency,302,0.9525773195876288,0.3397711015736767,8.99,50.0,795.0,2048.0,1135
surrogate,3.5,0.525,1.54,efficiency,303,0.9545454545454546,0.35534816941852115,8.96,52.0,823.0,2144.0,1143
surrogate,3.5,0.525,1.54,efficiency,304,0.9566160520607375,0.36822840409956076,8.99,51.0,809.0,2152.0,1105
surrogate,3.5,0.525,1.54,efficiency,305,0.96,0.34216177523264135,9.0,53.0,809.0,2056.0,1166
surrogate,3.5,0.525,1.54,equal_bargaining,301,0.0,0.9088937093275488,9.0,852.0,125.0,5240.0,619
