config_id,controller,scenario_id,seed,person_delay_s,max_norm_wait,starvation_violations,ped_mean_wait_s,veh_mean_wait_s,phase_switches,clearance_share
efpb__001,efpb,K_SS,304,21.8133148952983,0.84,0.0,35.83732057416268,18.16504854368932,70.0,0.21
efpb__002,efpb,K_SS,304,23.358356380877126,0.83,0.0,38.38277511961722,19.449838187702266,67.0,0.20777777777777778
efpb__003,efpb,K_SS,304,23.35578822599763,0.83,0.0,38.38277511961722,19.446601941747574,67.0,0.20777777777777778
efpb__004,efpb,K_SS,304,18.69814302647175,0.55,0.0,25.449760765550238,16.941747572815533,75.0,0.20444444444444446
efpb__005,efpb,K_SS,304,19.566772026866854,0.56,0.0,25.8133971291866,17.941747572815533,73.0,0.20333333333333334
efpb__006,efpb,K_SS,304,17.63660608455156,0.46,0.0,20.79904306220096,16.813915857605178,82.0,0.19777777777777777
efpb__007,efpb,K_SS,304,18.69814302647175,0.55,0.0,25.449760765550238,16.941747572815533,75.0,0.20444444444444446
efpb__008,efpb,K_SS,304,46.543362307388385,4.49,142.0,174.04784688995215,13.37378640776699,76.0,0.24333333333333335
efpb__009,efpb,K_SS,304,46.543362307388385,4.49,142.0,174.04784688995215,13.37378640776699,76.0,0.24333333333333335
efpb__010,efpb,K_SS,304,23.35578822599763,0.83,0.0,38.38277511961722,19.446601941747574,67.0,0.20777777777777778
efpb__011,efpb,K_SS,304,46.543362307388385,4.49,142.0,174.04784688995215,13.37378640776699,76.0,0.24333333333333335
efpb__012,efpb,K_SS,304,23.35578822599763,0.83,0.0,38.38277511961722,19.446601941747574,67.0,0.20777777777777778
efpb__013,efpb,K_SS,304,19.566772026866854,0.56,0.0,25.8133971291866,17.941747572815533,73.0,0.20333333333333334
efpb__014,efpb,K_SS,304,17.63660608455156,0.46,0.0,20.79904306220096,16.813915857605178,82.0,0.19777777777777777
efpb__015,efpb,K_SS,304,23.35578822599763,0.83,0.0,38.38277511961722,19.446601941747574,67.0,0.20777777777777778
efpb__016,efpb,K_SS,304,19.566772026866854,0.56,0.0,25.8133971291866,17.941747572815533,73.0,0.20333333333333334
efpb__017,efpb,K_SS,304,46.543362307388385,4.49,142.0,174.04784688995215,13.37378640776699,76.0,0.24333333333333335
efpb__018,efpb,K_SS,304,46.543362307388385,4.49,142.0,174.04784688995215,13.37378640776699,76.0,0.24333333333333335
efpb__019,efpb,K_SS,304,20.959403397866456,0.8,0.0,33.411483253588514,17.720064724919094,72.0,0.2088888888888889
efpb__020,efpb,K_SS,304,20.959403397866456,0.8,0.0,33.411483253588514,17.720064724919094,72.0,0.2088888888888889
efpb__021,efpb,K_SS,304,23.35578822599763,0.83,0.0,38.38277511961722,19.446601941747574,67.0,0.20777777777777778
efpb__022,efpb,K_SS,304,23.35578822599763,0.83,0.0,38.38277511961722,19.446601941747574,67.0,0.20777777777777778
efpb__023,efpb,K_SS,304,17.63660608455156,0.46,0.0,20.79904306220096,16.813915857605178,82.0,0.19777777777777777
efpb__024,efpb,K_SS,304,45.035361517186885,4.63,121.0,170.2822966507177,12.453074433656958,77.0,0.24222222222222223
efpb__025,efpb,K_SS,304,23.358356380877126,0.83,0.0,38.38277511961722,19.449838187702266,67.0,0.20777777777777778
efpb__026,efpb,K_SS,304,19.566772026866854,0.56,0.0,25.8133971291866,17.941747572815533,73.0,0.20333333333333334
efpb__027,efpb,K_SS,304,19.566772026866854,0.56,0.0,25.8133971291866,17.941747572815533,73.0,0.20333333333333334
efpb__028,efpb,K_SS,304,23.358356380877126,0.83,0.0,38.38277511961722,19.449838187702266,67.0,0.20777777777777778
efpb__029,efpb,K_SS,304,19.31291979454761,0.6,0.0,26.698564593301434,17.3915857605178,74.0,0.20555555555555555
efpb__000,efpb,K_SS,305,17.365537742860177,0.55,0.0,23.492385786802032,15.745200698080279,73.0,0.2088888888888889
efpb__001,efpb,K_SS,305,19.076228899033868,0.8,0.0,29.81725888324873,16.23560209424084,71.0,0.21333333333333335
efpb__002,efpb,K_SS,305,18.84563117103726,0.8,0.0,29.13705583756345,16.1239092495637,71.0,0.21222222222222223
efpb__003,efpb,K_SS,305,18.84563117103726,0.8,0.0,29.13705583756345,16.1239092495637,71.0,0.21222222222222223
efpb__004,efpb,K_SS,305,17.365537742860177,0.55,0.0,23.492385786802032,15.745200698080279,73.0,0.2088888888888889
efpb__005,efpb,K_SS,305,17.365537742860177,0.55,0.0,23.492385786802032,15.745200698080279,73.0,0.2088888888888889
efpb__006,efpb,K_SS,305,15.673426053721201,0.48,0.0,16.233502538071065,15.525305410122163,83.0,0.18888888888888888
efpb__007,efpb,K_SS,305,17.365537742860177,0.55,0.0,23.492385786802032,15.745200698080279,73.0,0.2088888888888889
efpb__008,efpb,K_SS,305,31.297271472555476,3.63,68.0,97.28934010152284,13.844677137870855,78.0,0.2288888888888889
efpb__009,efpb,K_SS,305,31.297271472555476,3.63,68.0,97.28934010152284,13.844677137870855,78.0,0.2288888888888889
efpb__010,efpb,K_SS,305,18.84563117103726,0.8,0.0,29.13705583756345,16.1239092495637,71.0,0.21222222222222223
efpb__011,efpb,K_SS,305,31.297271472555476,3.63,68.0,97.28934010152284,13.844677137870855,78.0,0.2288888888888889
efpb__012,efpb,K_SS,305,18.84563117103726,0.8,0.0,29.13705583756345,16.1239092495637,71.0,0.21222222222222223
efpb__013,efpb,K_SS,305,17.365537742860177,0.55,0.0,23.492385786802032,15.745200698080279,73.0,0.2088888888888889
efpb__014,efpb,K_SS,305,15.673426053721201,0.48,0.0,16.233502538071065,15.525305410122163,83.0,0.18888888888888888
efpb__015,efpb,K_SS,305,18.84563117103726,0.8,0.0,29.13705583756345,16.1239092495637,71.0,0.21222222222222223
efpb__016,efpb,K_SS,305,17.365537742860177,0.55,0.0,23.492385786802032,15.745200698080279,73.0,0.2088888888888889
efpb__017,efpb,K_SS,305,31.297271472555476,3.63,68.0,97.28934010152284,13.844677137870855,78.0,0.2288888888888889
efpb__018,efpb,K_SS,305,31.297271472555476,3.63,68.0,97.28934010152284,13.844677137870855,78.0,0.2288888888888889
efpb__019,efpb,K_SS,305,19.076228899033868,0.8,0.0,29.81725888324873,16.23560209424084,71.0,0.21333333333333335
efpb__020,efpb,K_SS,305,19.076228899033868,0.8,0.0,29.81725888324873,16.23560209424084,71.0,0.21333333333333335
efpb__021,efpb,K_SS,305,18.84563117103726,0.8,0.0,29.13705583756345,16.1239092495637,71.0,0.21222222222222223
efpb__022,efpb,K_SS,305,18.84563117103726,0.8,0.0,29.13705583756345,16.1239092495637,71.0,0.21222222222222223
efpb__023,efpb,K_SS,305,15.673426053721201,0.48,0.0,16.233502538071065,15.525305410122163,83.0,0.18888888888888888
efpb__024,efpb,K_SS,305,16.235799978766327,0.5,0.0,16.421319796954315,16.18673647469459,82.0,0.18777777777777777
efpb__025,efpb,K_SS,305,18.84563117103726,0.8,0.0,29.13705583756345,16.1239092495637,71.0,0.21222222222222223
efpb__026,efpb,K_SS,305,17.365537742860177,0.55,0.0,23.492385786802032,15.745200698080279,73.0,0.2088888888888889
efpb__027,efpb,K_SS,305,17.365537742860177,0.55,0.0,23.492385786802032,15.745200698080279,73.0,0.2088888888888889
efpb__028,efpb,K_SS,305,18.84563117103726,0.8,0.0,29.13705583756345,16.1239092495637,71.0,0.21222222222222223
efpb__029,efpb,K_SS,305,17.365537742860177,0.55,0.0,23.492385786802032,15.745200698080279,73.0,0.2088888888888889
equal_bargaining__000,equal_bargaining,K_SS,301,24.227881493506494,1.31,14.0,41.039408866995075,19.867109634551493,65.0,0.1988888888888889
equal_bargaining__001,equal_bargaining,K_SS,301,23.619622564935064,1.24,8.0,39.6551724137931,19.460132890365447,70.0,0.2088888888888889
equal_bargaining__002,equal_bargaining,K_SS,301,23.619622564935064,1.24,8.0,39.6551724137931,19.460132890365447,70.0,0.2088888888888889
equal_bargaining__003,equal_bargaining,K_SS,301,24.227881493506494,1.31,14.0,41.039408866995075,19.867109634551493,65.0,0.1988888888888889
equal_bargaining__004,equal_bargaining,K_SS,301,23.619622564935064,1.24,8.0,39.6551724137931,19.460132890365447,70.0,0.2088888888888889
equal_bargaining__005,equal_bargaining,K_SS,301,23.619622564935064,1.24,8.0,39.6551724137931,19.460132890365447,70.0,0.2088888888888889
equal_bargaining__006,equal_bargaining,K_SS,301,24.227881493506494,1.31,14.0,41.039408866995075,19.867109634551493,65.0,0.1988888888888889
