clearance_share,collisions,config_id,controller,emergency_stops,max_norm_wait,mean_vehicle_queue,pedestrian_wait_mean_s,person_delay_s,phase_switches,scenario_id,seed,vehicle_stop_time_mean_s,vehicle_stopped_wait_p95_s
0.15555555555555556,0.0,fixed_time__000,fixed_time,0.0,0.31,3.12,12.952380952380953,10.207433217189315,60.0,K_LH,304,10.066666666666666,22.0
0.15555555555555556,0.0,fixed_time__000,fixed_time,0.0,0.34,3.0355555555555553,13.782608695652174,10.008812615955472,60.0,K_LH,305,9.796178343949045,22.0
0.15555555555555556,0.0,fixed_time__000,fixed_time,0.0,0.35,1.7222222222222223,14.625,9.464435146443515,60.0,K_MM,301,8.049504950495049,21.0
0.15555555555555556,0.0,fixed_time__000,fixed_time,0.0,0.35,1.8222222222222222,14.594202898550725,9.846501809408927,60.0,K_MM,302,8.599009900990099,22.0
0.15555555555555556,0.0,fixed_time__000,fixed_time,0.0,0.35,1.8022222222222222,16.47222222222222,10.176628810520024,60.0,K_MM,303,8.450495049504951,22.0
0.15555555555555556,0.0,fixed_time__000,fixed_time,0.0,0.33,1.8166666666666667,14.444444444444445,9.674140049140048,60.0,K_MM,304,8.529702970297029,22.0
0.15555555555555556,0.0,fixed_time__000,fixed_time,0.0,0.34,1.791111111111111,13.192307692307692,9.24666242848061,60.0,K_MM,305,8.465346534653465,21.0
0.15555555555555556,0.0,fixed_time__000,fixed_time,0.0,3.67,31.70111111111111,216.3548387096774,90.21577380952381,60.0,K_OO,301,46.7485549132948,23.0
0.15555555555555556,0.0,fixed_time__000,fixed_time,0.0,2.99,30.25777777777778,172.1237113402062,73.88286655683692,60.0,K_OO,302,42.90985915492958,22.0
0.15555555555555556,0.0,fixed_time__000,fixed_time,0.0,3.88,31.684444444444445,215.59874608150471,88.35832264271968,60.0,K_OO,303,44.628851540616246,23.0
0.15555555555555556,0.0,fixed_time__000,fixed_time,0.0,3.65,31.63222222222222,226.4774193548387,90.27764724945312,60.0,K_OO,304,44.59774964838256,22.0
0.15555555555555556,0.0,fixed_time__000,fixed_time,0.0,3.19,31.34777777777778,185.04827586206898,78.52999917471321,60.0,K_OO,305,45.015514809590975,23.0
0.15555555555555556,0.0,fixed_time__000,fixed_time,0.0,1.67,13.52,90.81304347826087,37.83269551565107,60.0,K_SS,301,22.390444810543656,23.0
0.15555555555555556,0.0,fixed_time__000,fixed_time,0.0,1.26,13.053333333333333,74.69124423963133,33.08653465346534,60.0,K_SS,302,21.701639344262293,22.0
0.15555555555555556,0.0,fixed_time__000,fixed_time,0.0,1.25,14.173333333333334,52.99134199134199,30.03852530966546,60.0,K_SS,303,23.363338788870703,23.0
0.15555555555555556,0.0,fixed_time__000,fixed_time,0.0,1.21,12.341111111111111,80.82191780821918,33.49925794004156,60.0,K_SS,304,20.408866995073893,23.0
0.15555555555555556,0.0,fixed_time__000,fixed_time,0.0,0.61,12.47,30.146464646464647,22.87615846827579,60.0,K_SS,305,21.039800995024876,22.0
0.15555555555555556,0.0,fixed_time__000,fixed_time,0.0,0.48,3.7655555555555558,19.191082802547772,11.815187290482436,60.0,K_XX,301,9.626535626535626,21.0
0.15555555555555556,0.0,fixed_time__000,fixed_time,0.0,0.53,3.9277777777777776,19.136363636363637,12.057934878263419,60.0,K_XX,302,9.992610837438423,21.0
0.15555555555555556,0.0,fixed_time__000,fixed_time,0.0,0.44,3.861111111111111,21.219354838709677,12.391489361702126,60.0,K_XX,303,9.792592592592593,21.0
0.15555555555555556,0.0,fixed_time__000,fixed_time,0.0,0.36,3.938888888888889,16.81021897810219,11.391696750902527,60.0,K_XX,304,9.985221674876847,22.0
0.15555555555555556,0.0,fixed_time__000,fixed_time,0.0,0.41,3.89,15.9765625,11.029675848424896,60.0,K_XX,305,9.832923832923832,21.0
0.14,0.0,fixed_time__001,fixed_time,0.0,0.43,3.0444444444444443,17.388429752066116,11.54530106921778,54.0,K_HH,301,9.829652996845425,23.0
0.14,0.0,fixed_time__001,fixed_time,0.0,0.47,2.986666666666667,21.557522123893804,12.209864787659495,54.0,K_HH,302,9.646687697160884,23.0
0.14,0.0,fixed_time__001,fixed_time,0.0,0.49,3.0144444444444445,17.273504273504273,11.406917406917406,54.0,K_HH,303,9.741324921135647,23.0
0.14,0.0,fixed_time__001,fixed_time,0.0,0.4,2.9655555555555555,19.05607476635514,11.46099017530341,54.0,K_HH,304,9.488958990536277,23.0
0.14,0.0,fixed_time__001,fixed_time,0.0,0.39,2.968888888888889,16.204301075268816,10.743417145119778,54.0,K_HH,305,9.511041009463723,23.0
0.14,0.0,fixed_time__001,fixed_time,0.0,0.43,0.7833333333333333,17.388429752066116,12.882352941176471,54.0,K_HL,301,8.222222222222221,24.0
0.14,0.0,fixed_time__001,fixed_time,0.0,0.47,0.7911111111111111,21.557522123893804,14.718979680069173,54.0,K_HL,302,8.186813186813186,24.0
0.14,0.0,fixed_time__001,fixed_time,0.0,0.49,0.7933333333333333,17.273504273504273,12.727156821079472,54.0,K_HL,303,8.23076923076923,24.0
0.14,0.0,fixed_time__001,fixed_time,0.0,0.4,0.7477777777777778,19.05607476635514,13.205803571428573,54.0,K_HL,304,7.855555555555555,24.0
0.14,0.0,fixed_time__001,fixed_time,0.0,0.39,0.78,16.204301075268816,11.726190476190476,54.0,K_HL,305,8.166666666666666,24.0
0.14,0.0,fixed_time__001,fixed_time,0.0,0.38,3.0444444444444443,15.757575757575758,10.269152999325993,54.0,K_LH,301,9.829652996845425,23.0
0.14,0.0,fixed_time__001,fixed_time,0.0,0.4,2.986666666666667,17.516129032258064,10.197246671180322,54.0,K_LH,302,9.646687697160884,23.0
0.14,0.0,fixed_time__001,fixed_time,0.0,0.38,3.0144444444444445,15.407407407407407,10.089728991118195,54.0,K_LH,303,9.741324921135647,23.0
0.14,0.0,fixed_time__001,fixed_time,0.0,0.4,2.9655555555555555,19.47826086956522,10.017007584463341,54.0,K_LH,304,9.488958990536277,23.0
0.14,0.0,fixed_time__001,fixed_time,0.0,0.35,2.968888888888889,13.043478260869565,9.697770627441967,54.0,K_LH,305,9.511041009463723,23.0
0.14,0.0,fixed_time__001,fixed_time,0.0,0.4,1.768888888888889,17.22972972972973,10.423054070112894,54.0,K_MM,301,8.504950495049505,24.0
0.14,0.0,fixed_time__001,fixed_time,0.0,0.4,1.8122222222222222,18.314285714285713,10.754117999401018,54.0,K_MM,302,8.748768472906404,24.0
0.14,0.0,fixed_time__001,fixed_time,0.0,0.38,1.9,15.835616438356164,10.485010388839418,54.0,K_MM,303,9.004926108374384,25.0
