backend,group,scenario,controller,seed,person_delay_s,max_norm_wait,ped_mean_wait_s,veh_mean_wait_s,starvation_violations,ped_service_ratio,veh_service_ratio,jain
surrogate,nominal,C_LM,efficiency,1019,9.660646057658909,0.98,14.954128440366972,9.107231920199501,0,0.9908256880733946,0.9975062344139651,0.9999887113686949
surrogate,nominal,C_LM,efficiency,1004,9.97054195804196,0.72,16.75824175824176,9.38395061728395,0,1.0,1.0,1.0
surrogate,nominal,C_LM,efficiency,1029,9.244626772496208,0.85,12.556603773584905,8.898847631241997,0,1.0,0.9974391805377721,0.9999983563472118
surrogate,nominal,C_LM,efficiency,1015,9.787152034261242,0.68,16.347368421052632,9.206060606060607,0,1.0,0.9987878787878788,0.9999996322450484
surrogate,nominal,C_LM,efficiency,1022,9.805358550039402,0.62,14.915966386554622,9.210927573062262,0,1.0,0.9961880559085133,0.9999963533964061
surrogate,nominal,C_LM,efficiency,1012,10.118714491647589,1.1,18.11111111111111,9.386281588447654,1,1.0,0.9987966305655837,0.9999996375395899
surrogate,nominal,C_LM,efficiency,1017,9.349804602692142,1.19,16.684782608695652,8.712883435582823,1,0.9891304347826086,1.0,0.9999701403404001
surrogate,nominal,C_LM,efficiency,1026,10.04417358229599,0.61,15.036697247706423,9.524813895781637,0,1.0,0.9962779156327544,0.9999965236066422
surrogate,nominal,C_LM,efficiency,1024,9.503045380458094,0.67,16.89108910891089,8.802197802197803,0,0.9801980198019802,0.9987789987789988,0.9999118509983723
surrogate,nominal,C_LM,efficiency,1001,9.775297619047617,0.76,15.052173913043479,9.220902612826603,0,0.9826086956521739,0.995249406175772,0.9999591553694906
surrogate,nominal,C_LM,efficiency,1027,9.310096818810512,0.68,15.029126213592233,8.709933774834438,0,1.0,0.9960264900662251,0.9999960370893213
surrogate,nominal,C_LM,efficiency,1011,9.663371627037135,0.93,15.561904761904762,9.054916985951468,0,1.0,0.9961685823754789,0.9999963159717361
surrogate,nominal,C_LM,efficiency,1013,9.76861868573983,0.78,14.056451612903226,9.233986928104574,0,1.0,0.9947712418300654,0.9999931291901205
surrogate,nominal,C_LM,efficiency,1030,9.346859986273163,0.9,16.77319587628866,8.672749391727494,0,1.0,0.9975669099756691,0.9999985164129236
surrogate,nominal,C_LM,efficiency,1016,9.58378424078458,0.67,16.110091743119266,8.92130750605327,0,1.0,0.9987893462469734,0.9999996331354953
surrogate,nominal,C_LM,efficiency,1005,9.49268762588668,0.63,13.620967741935484,8.989782886334611,0,1.0,0.9974457215836526,0.9999983647438782
surrogate,nominal,C_LM,efficiency,1020,9.763223105186706,0.9,15.349514563106796,9.224116930572473,0,1.0,0.9963459196102314,0.9999966497042432
surrogate,nominal,C_LM,efficiency,1025,9.459047109207708,1.25,13.688,8.928198433420366,1,0.992,0.9973890339425587,0.9999926619745818
surrogate,nominal,C_LM,efficiency,1014,9.936331877729257,0.78,15.584745762711865,9.2873417721519,0,1.0,0.9987341772151899,0.9999995989157892
surrogate,nominal,C_LM,efficiency,1018,9.865814977973569,0.63,16.064814814814813,9.213924050632912,0,1.0,1.0,1.0
