backend,group,scenario,controller,seed,person_delay_s,max_norm_wait,ped_mean_wait_s,veh_mean_wait_s,collisions,emergency_stops,ped_unserved,veh_unfinished
SUMO,stress,T_OO,efficiency,4006,59.840399682634136,0.86,58.519962859795726,60.32145998240985,0,0,11,67
SUMO,stress,T_OO,efficiency,4003,58.95653029110937,0.87,57.3764291996482,59.56965394853594,0,0,19,68
SUMO,stress,T_SS,fixed_time,4001,35.634378766221026,0.72,19.655940594059405,40.312293923692884,0,0,9,46
SUMO,nominal,C_LL,fixed_time,4004,7.6245972073039745,0.27,9.738636363636363,7.2292817679558015,0,0,0,0
SUMO,nominal,C_LL,equal_bargaining,4009,4.137265320580942,0.39,5.308510638297872,3.903314917127072,0,0,0,0
SUMO,nominal,C_HL,fixed_time,4002,9.113531581373906,0.27,11.327455919395465,7.245856353591161,0,0,0,0
SUMO,stress,T_SH,efpb,4004,9.28872492897426,0.44,10.596306068601583,8.669374492282698,0,0,1,3
SUMO,nominal,C_LH,equal_bargaining,4002,7.726692662176534,0.45,8.23076923076923,7.6980519480519485,0,0,1,5
SUMO,nominal,C_HH,efpb,4005,8.798549921957607,0.51,11.59079283887468,8.114099429502852,0,0,0,4
SUMO,stress,T_SH,equal_bargaining,4008,8.953589315525878,0.56,8.03513174404015,9.411382113821139,0,0,1,6
SUMO,stress,T_SH,efpb,4003,9.08882874015748,0.42,9.948931116389549,8.635179153094462,0,0,3,5
SUMO,nominal,C_MM,fixed_time,4006,8.486023166023168,0.27,11.854901960784314,7.66,0,0,1,9
SUMO,stress,T_SH,equal_bargaining,4003,9.534987329355022,0.51,7.944378698224852,10.374188311688311,0,0,2,8
SUMO,nominal,C_LM,efficiency,4003,5.81560958726313,0.32,10.034188034188034,5.340425531914893,0,0,0,2
SUMO,stress,T_SH,efficiency,4001,9.392351274787536,0.45,9.870646766169154,9.151465798045603,0,0,3,5
SUMO,nominal,C_HH,efficiency,4006,8.990568416805365,0.63,12.257142857142858,8.203417412530513,0,0,4,7
SUMO,nominal,C_ML,fixed_time,4006,8.808296582138919,0.27,11.854901960784314,7.157458563535911,0,0,1,0
SUMO,nominal,C_LM,equal_bargaining,4009,5.696323921150773,0.4,7.0638297872340425,5.571788413098237,0,0,0,2
SUMO,stress,T_SH,efpb,4006,9.339185655584608,0.39,10.357231149567367,8.824532900081234,0,0,4,5
SUMO,nominal,C_LL,efpb,4007,4.302097661623109,0.29,6.063063063063063,3.886740331491713,0,0,0,0
SUMO,nominal,C_ML,fixed_time,4002,8.455452501405285,0.27,10.817427385892117,7.245856353591161,0,0,0,0
SUMO,stress,T_SS,efpb,4001,33.63616659350307,0.57,28.689950980392158,35.06295955882353,0,0,15,41
SUMO,stress,T_HS,efficiency,4002,26.029724358420463,1.0,39.2125,24.31316123571731,0,0,3,31
SUMO,nominal,C_HH,equal_bargaining,4008,9.05614406779661,0.54,6.018134715025907,9.79071661237785,0,0,0,9
SUMO,nominal,C_LL,equal_bargaining,4006,3.939752832131823,0.29,4.696428571428571,3.7596685082872927,0,0,0,0
SUMO,nominal,C_HM,efpb,4003,8.03730478074064,0.36,8.376470588235295,7.898876404494382,0,0,0,10
SUMO,stress,T_SH,equal_bargaining,4002,9.425018745313672,0.51,8.127659574468085,10.07224025974026,0,0,0,4
SUMO,stress,T_SS,efficiency,4004,30.829900963234298,0.89,29.340286831812257,31.221380846325168,0,0,4,36
SUMO,stress,T_SH,efficiency,4005,9.393218347391832,0.53,9.984615384615385,9.105433901054338,0,0,1,5
SUMO,nominal,C_MH,efficiency,4008,8.434733318937596,0.69,12.81640625,7.732084690553746,0,0,0,5
SUMO,nominal,C_HM,efpb,4006,7.629658167553938,0.37,8.581818181818182,7.278054862842893,0,0,3,11
SUMO,nominal,C_MH,fixed_time,4004,8.409961685823754,0.27,10.087719298245615,8.170731707317072,0,0,1,5
SUMO,nominal,C_MH,efficiency,4005,7.861663947797716,0.54,12.833333333333334,7.1154471544715445,0,0,1,5
SUMO,nominal,C_LM,efficiency,4010,5.2653487764521465,0.35,8.345794392523365,4.948813982521847,0,0,0,10
SUMO,stress,T_SS,efpb,4010,33.15098807773967,0.57,27.55889423076923,34.78819762122598,0,0,10,40
SUMO,nominal,C_LM,efficiency,4007,5.5029153250369855,0.36,7.31858407079646,5.304893350062735,0,0,0,4
SUMO,nominal,C_HH,efpb,4002,8.648160232920034,0.46,10.71536523929471,8.133659331703342,0,0,2,5
SUMO,nominal,C_HH,efficiency,4010,8.75598471132569,0.56,11.65561224489796,8.043973941368078,0,0,0,7
SUMO,stress,T_HS,efficiency,4008,23.216150223824197,1.19,37.025445292620866,21.435153583617748,0,0,4,29
SUMO,nominal,C_HH,fixed_time,4003,9.07246949562812,0.27,12.29245283018868,8.219333874898457,0,0,0,5
SUMO,nominal,C_LM,efpb,4002,5.123946411143643,0.34,8.835164835164836,4.797992471769135,0,0,1,8
SUMO,stress,T_HS,fixed_time,4005,38.59777298394772,0.38,11.62915601023018,42.416666666666664,0,0,0,49
SUMO,nominal,C_MH,efpb,4010,8.062408818284974,0.5,12.181818181818182,7.4100895036615135,0,0,1,2
SUMO,nominal,C_LL,fixed_time,4002,7.795405982905984,0.27,10.637362637362637,7.245856353591161,0,0,0,0
SUMO,nominal,C_LM,efpb,4001,5.5112886418895455,0.36,8.660550458715596,5.182044887780549,0,0,0,5
SUMO,nominal,C_HL,fixed_time,4009,8.803848829121263,0.27,10.604591836734693,7.303867403314917,0,0,1,0
SUMO,nominal,C_MM,efficiency,4010,6.983049535603715,0.37,8.373015873015873,6.64625,0,0,1,10
SUMO,nominal,C_LH,equal_bargaining,4008,7.9862040863845385,0.46,6.2,8.114355231143552,0,0,0,9
SUMO,nominal,C_HM,efpb,4001,7.765403012779324,0.38,8.392265193370166,7.546933667083855,0,0,0,7
SUMO,nominal,C_LH,efpb,4005,6.724013274860733,0.56,14.153846153846153,6.300488599348534,0,0,0,3
SUMO,stress,T_OO,efficiency,4001,57.55729741664827,0.96,56.77981651376147,57.841097083151936,0,0,20,71
SUMO,nominal,C_LH,efpb,4009,6.656712880673066,0.47,12.97872340425532,6.283849918433932,0,0,0,5
SUMO,nominal,C_ML,efficiency,4005,5.011995484053062,0.33,5.226890756302521,4.903314917127072,0,0,0,1
SUMO,nominal,C_LL,fixed_time,4005,7.813057438458793,0.27,11.11111111111111,7.18232044198895,0,0,0,0
SUMO,stress,T_OO,fixed_time,4007,110.70562218890555,4.59,243.44713261648747,59.37522522522522,0,0,141,70
SUMO,nominal,C_MH,efficiency,4004,8.31046218026128,0.53,12.179824561403509,7.756933115823817,0,0,0,3
SUMO,nominal,C_HH,efficiency,4002,9.04032016008004,0.68,11.535,8.416260162601626,0,0,2,5
SUMO,nominal,C_HM,efficiency,4007,8.113112837791377,0.38,8.634382566585957,7.906367041198502,0,0,0,7
SUMO,stress,T_OO,fixed_time,4008,117.04658732327876,3.99,280.42418604651164,57.50462758924636,0,0,100,66
SUMO,stress,T_HS,fixed_time,4007,34.08406096454167,0.39,12.368932038834952,37.29845866417562,0,0,2,45
SUMO,nominal,C_LM,equal_bargaining,4005,5.528572694250022,0.36,6.688888888888889,5.428035043804756,0,0,0,6
SUMO,stress,T_HS,efficiency,4009,24.407182849351628,1.16,37.18939393939394,22.748189177673627,0,0,4,39
SUMO,stress,T_OO,efficiency,4004,57.08233259204349,0.99,57.1,57.07598253275109,0,0,18,67
SUMO,nominal,C_MM,efpb,4004,6.160012624270159,0.38,7.921739130434783,5.769423558897243,0,0,1,10
